"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4628","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","3.188897","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","6","1","4.526290","0","6"
"/Interchange/gltf/M_Opaque.M_Opaque","0","224","232","8","414.439240","0","245"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","18","1","36.135780","0","18"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","7.756246","0","5"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","8.082875","0","5"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","6.274759","0","4"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","11.230254","0","7"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","6","1","8.323232","0","6"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","9","1","12.130364","0","9"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","28","1","56.969170","0","28"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","7.511421","0","5"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","12","1","18.938635","0","12"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","14","1","27.101351","0","14"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","8.232042","0","5"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","8.108490","0","5"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","145","1","257.176758","0","145"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","4","1","4.411207","0","4"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","37","37","1","69.321793","0","37"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","69","69","1","131.013123","0","69"
"/Game/Materials/Bgt/M_Bgt.M_Bgt","0","14","14","1","25.044191","0","14"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","37","37","1","69.432426","0","37"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","37","37","1","71.336784","0","37"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","44","46","2","65.127159","0","46"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","7","7","1","9.048313","0","7"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","28","1","48.058994","0","28"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","9","9","1","10.792477","0","9"
"/ControlRig/M_Manip.M_Manip","0","9","9","1","9.331369","0","9"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","6","1","14.970293","0","6"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","4","1","5.160141","0","4"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","6","6","1","12.972940","0","6"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","56","6","77.249619","5","66"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","53","53","1","369.406525","0","53"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","10","10","1","11.229263","0","10"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","93","93","1","145.231110","0","93"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","139","139","1","258.785309","0","139"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","659","679","1","1123.897949","0","679"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","28","29","1","46.658623","0","29"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","6","1","6.821525","0","6"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","6","1","6.627107","0","6"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","145","145","1","271.336884","0","145"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","14","14","1","27.700102","0","14"
"/Game/MSPresets/M_MS_Default_Material/M_MS_Default_Material.M_MS_Default_Material","0","28","28","1","56.789974","0","28"
"/Game/Materials/Bag/M_Bag.M_Bag","0","14","14","1","27.309195","0","14"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","56","58","1","146.509399","0","58"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","82","84","1","235.020889","0","84"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","14","14","1","28.856678","0","14"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","0","15","16","1","36.742405","0","16"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","0","24","24","1","395.831177","0","24"
"/Interchange/gltf/M_Unlit.M_Unlit","0","32","34","2","45.080765","0","34"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","0","14","14","1","29.427784","0","14"
"/Interchange/Materials/SheenMaterial.SheenMaterial","0","14","14","1","29.282560","0","14"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","0","14","14","1","29.489456","0","14"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","0","14","14","1","29.496140","0","14"
"/Interchange/gltf/M_Transmission.M_Transmission","0","108","108","4","2051.863037","0","108"
"/Interchange/gltf/M_Translucent.M_Translucent","0","200","200","8","3487.297363","0","200"
"/Interchange/gltf/M_Sheen.M_Sheen","0","112","116","4","206.792648","0","116"
"Globals","49","5066","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","4","1","1","7.381053","0","13"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","6","1","1","10.319781","0","23"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","17","3","1","28.222404","0","41"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","5","5","1","4.716797","0","5"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","5","5","1","4.843579","0","5"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","6","1","1","6.126779","0","14"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","7","7","1","6.498880","0","7"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","4","4","1","4.868505","0","5"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","9","9","1","7.632464","0","9"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","12","12","1","10.977207","0","12"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","5","5","1","4.765039","0","5"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","28","28","1","31.418894","0","28"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","14","14","1","15.697671","0","14"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","5","5","1","4.998189","0","5"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","145","145","1","150.187149","0","145"
"/Engine/VREditor/TransformGizmo/Main.Main","49","5","5","1","5.530979","0","5"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","49","4","4","1","3.635004","0","4"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","84","84","1","120.915375","0","84"
"/Game/Materials/Bgt/M_Bgt.M_Bgt","49","23","23","1","39.358276","0","23"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","52","52","1","85.423073","0","52"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","52","52","1","84.878242","0","52"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","52","52","1","88.252136","0","52"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","28","28","1","33.916492","0","28"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","7","7","1","6.414000","0","7"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","48","50","2","46.319962","0","50"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","9","9","1","8.495975","0","9"
"/ControlRig/M_Manip.M_Manip","49","9","9","1","7.909357","0","9"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","6","6","1","5.082808","0","6"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","4","4","1","3.807669","0","4"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","49","6","6","1","7.685452","0","6"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","58","60","6","52.599533","0","60"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","53","53","1","75.503212","0","53"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","10","10","1","8.915341","0","10"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","93","93","1","99.566093","0","93"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","139","139","1","154.910812","0","139"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","880","900","1","929.126343","0","900"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","30","31","1","30.408285","0","31"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","6","6","1","4.926537","0","6"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","145","145","1","145.908844","0","145"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","6","6","1","4.965230","0","6"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","49","14","14","1","16.095497","0","14"
"/Game/MSPresets/M_MS_Default_Material/M_MS_Default_Material.M_MS_Default_Material","49","37","37","1","55.928970","0","37"
"/Game/Materials/Bag/M_Bag.M_Bag","49","23","23","1","39.186714","0","23"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","60","62","1","78.814659","0","62"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","86","88","1","118.234749","0","88"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","49","14","14","1","15.696887","0","14"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","49","15","16","1","19.608438","0","16"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","49","24","24","1","88.349693","0","24"
"/Interchange/gltf/M_Unlit.M_Unlit","49","36","38","2","32.566799","0","38"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","49","14","14","1","16.172852","0","14"
"/Interchange/Materials/SheenMaterial.SheenMaterial","49","14","14","1","16.115871","0","14"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","49","14","14","1","16.295698","0","14"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","49","14","14","1","15.956744","0","14"
"/Interchange/gltf/M_Transmission.M_Transmission","49","108","108","4","401.397034","0","108"
"/Interchange/gltf/M_Sheen.M_Sheen","49","120","124","4","129.422180","0","124"
"/Interchange/gltf/M_Translucent.M_Translucent","49","200","200","8","744.782471","0","200"
"/Interchange/gltf/M_Opaque.M_Opaque","49","240","248","8","253.514282","0","248"
